=== pre-workload pg_backend_memory_contexts ===
                      name                      |                     ident                      |    type    | level | total_bytes | total_nblocks | used_bytes | free_bytes | free_chunks 
 index info                                     | pg_auth_members_role_member_index              | AllocSet   |     3 |        3072 |             2 |       1712 |       1360 |           3
 index info                                     | pg_database_oid_index                          | AllocSet   |     3 |        2048 |             2 |       1184 |        864 |           1
 index info                                     | pg_authid_rolname_index                        | AllocSet   |     3 |        2048 |             2 |       1184 |        864 |           1
 index info                                     | pg_enum_oid_index                              | AllocSet   |     3 |        1024 |             1 |        984 |         40 |           0
 index info                                     | pg_opclass_am_name_nsp_index                   | AllocSet   |     3 |        3072 |             2 |       1840 |       1232 |           2
 index info                                     | pg_foreign_data_wrapper_name_index             | AllocSet   |     3 |        1024 |             1 |       1016 |          8 |           0
 index info                                     | pg_propgraph_element_oid_index                 | AllocSet   |     3 |        1024 |             1 |        984 |         40 |           0
 pg_get_backend_memory_contexts                 |                                                | AllocSet   |     6 |       32768 |             3 |      15952 |      16816 |           7
 printtup                                       |                                                | AllocSet   |     5 |        8192 |             1 |        240 |       7952 |           0
 relation rules                                 | pg_backend_memory_contexts                     | AllocSet   |     3 |        8192 |             4 |       4720 |       3472 |           4
 search_path processing cache                   |                                                | AllocSet   |     2 |        8192 |             1 |       2544 |       5648 |           8
 smgr relation table                            |                                                | AllocSet   |     2 |       40960 |             3 |      24112 |      16848 |           9
 tuplestore tuples                              |                                                | Generation |     5 |       32768 |             3 |      22200 |      10568 |           0
(138 rows)

Time: 44.783 ms
=== backend pid for external leak probe ===
 pg_backend_pid 
----------------
           9369
(1 row)

Time: 6.589 ms
